id,SamAccountName,UserPrincipalName,GivenName,Surname,DisplayName,Title,Password,City
0,ervinaranyló,ervinaranyló@solartest.eu,Aranyló,Ervin,Ervin Aranyló,Vezető,Password123,Győr
1,szilágyirózsa,szilágyirózsa@solartest.eu,Rózsa,Szilágyi,Szilágyi Rózsa,Vezető,Password123,Győr
2,vargaistván,vargaistván@solartest.eu,István,Varga,Varga István,Vezető,Password123,Győr
3,kocsisblanka,kocsisblanka@solartest.eu,Blanka,Kocsis,Kocsis Blanka,Vezető,Password123,Győr
4,nagyviktor,nagyviktor@solartest.eu,Viktor,Nagy,Nagy Viktor,Vezető,Password123,Győr
5,farkaslaura,farkaslaura@solartest.eu,Laura,Farkas,Farkas Laura,Vezető,Password123,Győr
6,kovácsmagdolna,kovácsmagdolna@solartest.eu,Magdolna,Kovács,Kovács Magdolna,HR,Password123,Győr
7,tóthgábor,tóthgábor@solartest.eu,Gábor,Tóth,Tóth Gábor,HR,Password123,Győr
8,hertelendianna,hertelendianna@solartest.eu,Anna,Hertelendi,Hertelendi Anna,HR,Password123,Győr
9,szendreipéter,szendreipéter@solartest.eu,Péter,Szendrei,Szendrei Péter,HR,Password123,Győr
10,kissmiklós,kissmiklós@solartest.eu,Miklós,Kiss,Kiss Miklós,Marketing,Password123,Győr
11,péterzoltán,péterzoltán@solartest.eu,Zoltán,Péter,Péter Zoltán,Marketing,Password123,Győr
12,gergelykatalin,gergelykatalin@solartest.eu,Katalin,Gergely,Gergely Katalin,Marketing,Password123,Győr
13,kovácsgergely,kovácsgergely@solartest.eu,Gergely,Kovács,Kovács Gergely,Marketing,Password123,Győr
14,takácszsolt,takácszsolt@solartest.eu,Zsolt,Takács,Takács Zsolt,Értekesítés,Password123,Győr
15,váradyerzsébet,váradyerzsébet@solartest.eu,Erzsébet,Várady,Várady Erzsébet,Értekesítés,Password123,Győr
16,fazekaslászló,fazekaslászló@solartest.eu,László,Fazekas,Fazekas László,Értekesítés,Password123,Győr
17,bálinttamás,bálinttamás@solartest.eu,Tamás,Bálint,Bálint Tamás,Értekesítés,Password123,Győr
18,vargajózsef,vargajózsef@solartest.eu,József,Varga,Varga József,Értekesítés,Password123,Győr
